postalsector,3am,6am,9am,12pm,3pm,6pm,9pm,12am
0,-0.144634062,-0.080606707,0.471421401,0.301863412,0.021206513,0.219860715,0.180757286,-0.182435612
1,-0.703077454,-0.333469273,1.832449729,4.125999937,5.557047401,-3.307165041,-18.61368698,-4.210778932
2,0,0,0,4.70559E-05,0,0,0,0
3,0.069328983,-0.355412994,0.932945384,0.620619883,5.414311259,-4.927816294,-3.287699595,-3.057847351
4,-0.588982652,0.246149261,1.225679957,4.659048844,15.2860997,3.338645418,-16.12996832,-4.478134705
5,-0.047840136,1.097107632,1.984597045,1.009693509,4.400665056,2.700803087,0.626846943,-0.726056404
6,-0.25987389,-0.093876463,0.053110393,1.977522979,5.521959406,3.651284625,-5.316278194,-1.887803118
7,-0.044405057,0.265112777,2.580042037,1.14047746,3.830787088,2.524233774,-2.647159394,-0.60560906
8,-0.405903943,0.195438718,1.626282272,0.834739781,4.430216143,4.833092826,-2.651692443,-2.98138156
9,-2.980440443,2.899708254,2.835978919,3.224785896,3.195015215,9.081140007,-7.750839163,-3.167738495
10,0.132901465,0.313156822,0.739153622,-0.357750102,-0.347491922,2.315886062,-1.247545252,-0.904586379
11,-1.340198262,-0.719766603,-5.828638203,-2.109546068,-1.472911504,12.9210873,-12.44729742,-4.665903316
12,-0.205728268,0.719703862,-9.260862064,-0.839319886,-4.478181761,2.027245349,-2.722652696,-1.938199956
13,-0.095444992,0.361404775,0.262634501,1.271151614,3.79497757,13.42118142,-4.862110613,-0.274147504
14,-0.012297268,0.147002541,4.799212598,0.256030994,0.662264329,2.909401763,-0.937996047,-0.390689212
15,-0.290585689,0.014901026,9.115443737,1.073705179,0.888226621,1.28685259,-3.671346112,-0.570034821
16,-0.330865514,-0.697571917,-5.17258525,0.314474386,2.1939643,10.04898516,-2.931486652,-3.175957587
17,-0.479075823,0.282225429,2.024908241,1.930263199,8.337500392,4.831289017,-0.312184334,-1.276217963
18,0.189227343,1.357671676,7.137230605,4.309894281,9.482291307,10.29955767,2.055337704,-1.690686075
19,0.049800797,0.825014901,1.922091163,1.025237632,1.301486966,1.77526116,-1.176600684,-1.663440725
20,-0.131991718,-0.524861185,-8.590049252,-1.455500831,-0.381262352,1.957508548,-1.383019105,-2.45680271
21,-0.347225272,-0.445587728,3.036091853,0.872933463,1.129278163,3.697305267,-2.252862565,-2.279888321
22,-0.347460551,0.862502745,15.94648179,0.870988487,4.427581015,6.63288578,-5.01485397,-3.544969727
23,-0.957100731,-3.673306773,-9.14314396,1.10291119,12.6525865,8.720001882,-8.000031371,-7.087288641
24,-0.485240142,-0.056278822,3.266932271,-1.521426107,0.968456881,5.229977727,-2.561941212,-3.873262854
25,-0.37574113,-1.727766101,12.91404461,-0.674043982,1.178122157,3.48541268,-3.249537284,-4.305659253
26,-0.370925746,0.595586159,7.725460363,-1.233067729,-0.731107068,1.899347492,-0.759136682,-0.996094363
27,-0.492031873,-1.464049315,0.672224488,-2.805894532,-3.470417542,1.517881231,-1.885575807,-1.904225617
28,-0.124149073,0.258085767,4.031684286,-1.274931769,0.366141732,-1.230448286,-1.107726574,-1.747231546
29,-0.394139976,-0.086473006,4.023888697,-1.596229256,-0.609342159,-0.92113436,-1.38220347,-1.289174013
30,-0.544985413,-2.724629043,10.90629608,-1.263387395,-1.307023873,4.547777394,-4.739498698,-1.841029582
31,-0.405103993,0.690686075,5.18097688,-1.629748722,-1.078646046,-1.771026132,-2.157339147,-0.620635568
32,-0.079885184,-1.647551526,11.59569596,-1.706057659,-0.134015121,2.823901245,-1.496062992,-1.344150955
33,-0.279307965,0.350299589,4.04293064,1.153182545,0.923628321,2.950120777,0.318411394,-1.011105186
34,-0.150374878,-0.090253161,1.049706685,0.520422248,-0.068309439,0.084120212,-3.342080497,-0.827728456
35,-0.325014901,-1.129748722,4.924506698,0.11560059,-0.332183079,0.365796656,-0.915926844,-0.42113436
36,0.005740816,0.41111146,2.686843178,1.260626784,0.383819054,1.170059918,-1.401778712,-0.566787966
37,-0.124996079,0.276170907,3.077187314,0.038523073,0.086049503,0.236816513,0.091806004,-0.088198388
38,-0.055463187,-1.010242495,0.324246322,0.438748941,-0.249333375,0.577642187,-1.015057879,-0.778272736
39,-0.210575023,-0.601687737,-4.389622612,-3.559211971,-1.50729366,-0.917809079,-3.331163535,-3.641104872
40,0.059808012,-0.495812027,4.911723186,1.079100919,-0.02457885,1.339696333,-0.694419174,-1.344245067
41,-0.404006023,-0.451218747,8.481005113,-0.157213665,-0.711390658,-1.687392164,-0.787134925,-0.988894814
42,-0.254117389,-1.328795056,17.57180726,0.406656837,-0.209916241,-0.33227719,-1.075179597,-1.441572294
43,-0.464253223,-1.566897763,14.68373749,-7.621451203,-3.863224268,-3.252564545,-2.695768109,-2.685494243
44,-0.356730558,0.215782539,8.737538037,0.463155253,-1.238730119,-2.226824984,-2.370627725,-0.869623867
45,-0.319619161,0.048796938,6.116416225,-0.043087493,-1.088339555,-0.166436616,-1.137167864,-0.609420585
46,-0.330834144,-0.321140634,-2.168867836,-6.276876745,-5.564341061,-3.251686169,-3.135897355,-2.789409292
47,-0.001427361,-0.233161841,5.66988738,-0.505019293,0.846503749,0.285833046,-0.619616024,-0.384462151
48,0.099789817,-0.36168711,-1.68477272,-1.02837469,-0.319383882,-9.37923895,-10.62516862,-2.817109515
49,-0.499278477,-2.400539574,-0.798804781,-0.720770461,-1.054616181,-0.339225774,-3.56970543,-0.24715312
50,-0.530664743,-1.012877623,-2.562443141,-1.765473539,-0.518963516,1.959688804,-3.017426358,-1.535542868
51,-0.147551526,0.261897293,-4.732220723,-2.679831854,-3.874580418,-4.276374816,-2.145465383,-0.755874141
52,0.658248894,-1.704175424,-11.66753459,-6.917291464,-2.608855915,-7.439501835,-6.839868871,-2.203281363
53,-0.132274053,2.956692913,14.62855664,0.973978103,-1.811651034,0.289958277,-6.177886878,-0.144947768
54,-0.248862816,-0.39142642,29.01918311,1.160978135,-4.230683565,-1.923738118,-2.208928067,-1.957947737
55,-0.547275465,-1.432945384,4.720268532,0.52321423,-2.187062773,-1.437149042,-0.553518211,-1.276829689
56,-0.14827305,0.686717696,-8.674828246,-1.502948835,-2.824042413,-4.29391097,-1.834912319,-0.661072246
57,-0.154186404,-0.28338614,22.24730997,-0.232424632,-1.633136744,-1.013928538,-1.217460865,-1.925808577
58,-0.082175236,0.268892932,-0.081265489,-2.007779904,-1.63288578,-1.207390909,-1.517457728,-0.14314396
59,-0.442733005,0.540719014,2.421008878,-2.61130282,-2.336778869,-0.471578254,-2.581924271,-1.434545283
60,-0.191031151,-0.223515387,-3.832198764,-2.691454654,-3.245239514,-0.222699752,-9.63098786,-1.645386956
61,-0.138391317,0.284593908,-1.483734354,0.288499545,-0.635913041,1.17854566,0.665526869,0.737977225
62,-0.348746745,0.203030398,-1.590990369,-0.675800734,-0.619412115,17.77417888,1.443862346,0.455987075
63,-0.389246165,-0.353389591,-1.546397089,-0.764030492,-1.098707532,6.174467484,1.795557926,-1.910013489
64,-0.189258713,2.369153308,-12.58799448,-0.528406061,-2.890971547,-2.654092292,-1.64341061,-0.240141795
65,0.045518713,-1.56481162,8.738479154,-4.004831069,-3.034476268,-1.867459297,-1.5015999,-0.425541927
66,-0.074928632,0.702544154,3.819713273,0.248878502,-0.552592778,-0.718229444,-0.439611632,-0.233820623
67,-0.269441917,-0.754791856,15.16000565,-0.838551307,-2.180757286,-2.483044201,-1.322332716,-0.191846786
68,-0.155723562,1.397826019,20.31692129,-0.790224927,-2.619270948,-3.106848198,-1.120321862,0.197524861
69,0.134391568,0.005348684,0.169965806,0.19339963,0.241067227,0.281582332,0.320372055,0.08835524
70,0.000282335,0.020108542,0.001317564,0.164852401,0.082222292,0.505850613,0.15693133,0.026539511
71,0.012046303,-0.035056624,0.089672805,0.233726511,0.23339712,0.119945415,0.023026006,0.009379804
72,0.02401418,-0.068497663,0.685902061,0.900633686,0.503827211,0.424553753,0.158703768,-0.284672334
73,-0.063462685,-0.101656367,-9.595993977,-2.39842206,-5.942560467,-6.058035574,-3.442042852,-0.231954073
75,0.06374502,-0.082739907,-2.918734511,4.532076419,1.163283872,2.467578505,1.228942498,0.767418515
76,-0.108087336,0.974762368,12.26989679,1.738290931,-2.340559024,-0.843821564,0.11859648,-0.234871537
77,0.008156351,-0.072168021,0.23040123,0.487561565,0.239655551,-0.659378235,0.111287135,-0.018273363
78,-0.079838128,0.206057659,-2.479765975,-0.917213038,-0.430921981,-1.750713681,-1.031213728,-0.321752361
79,0.897637795,1.508485742,10.57739122,5.900210183,3.528468802,4.835351507,1.188505819,1.042256172
80,-0.118502368,-0.9613985,1.417416946,-0.582190921,-1.285095837,-0.048247953,-0.550585061,-1.050130188
81,0.838221915,0.290711171,1.082426201,0.744925809,0.504407567,3.925824262,2.980440443,0.629529128
82,-0.160413464,1.717053048,17.07754808,5.856056091,1.366329956,2.327775512,0.348072278,-0.308043417
